summary,description,timespent
check receive correct error when performing receipt,in finanncialcheques receive when receiving a deposit check that contains more than one check user select only one with radiobutton remittance system returns duplicatekey error,2340.0
pdv error when reversing gauge with supply with the same reference,"perform treatment for integration of supplies with an existing reference to the remote bank problem occurs when the station loses the database, in this case, the reference of the supply table was restarted, an error occurred in the attachment when trying to make a measurement even though it had two supplies with the same follow select remote bank with an example of supplies that had their reference repeated select movement supply",1680.0
Employee voucher rel display payment receipt date on the grid,in financial reports employee voucher implement in the grid payment date receipt of employee voucher the report should be rethought as the date on which voucher was generated is currently displayed,2520.0
title pay notes are being saved,in financialtitle pay notes typed when inserting change a title are being saved when opening titles note field remains blank,2940.0
cash closing correct spelling of the word debt,in financialsclosing the cash register card tabcard-type column correct spelling of the word debt that is written as debit,2820.0
pdv create title for columns sales summary report attendant,pdv perform create title for quantity columns item value report summary of sales attendant issued by printer reason to make it clear that these are printed values report,2400.0
term price table error when saving card discount,in cadastresdeadlinesprice table system allows saving value discount for type message special price with type add withdraw value may have withdrawal value greater than or equal to the product,2280.0
pledge note remove limit balance in quantity,in financial commitment note insert change remove from quantity balance limit fields,1440.0
product registration create flag for sending barcode in the issuance of nfce,in cadastresprodutos tab barcode create a checkbox wants to serve to manage sending of barcode in the issue of sales in the lane flag must be called send gtin this flag must have value make adaptation for sending nfe,3480.0
lmc sort nozzles in ascending order on print,change print views of lms by listing nozzles in ascending order places where you can view print lms movements lmcview movements lmprint reports lmc,2100.0
securities to receive if there is a negative amount to pay enter zero amount,"in financial titles, receive when receiving a duplicate title with more than one form of payment where one of the last being is greater than the duplicate title value when making the next launch remaining value tends to be negative in this case, set the value to zero",2820.0
accountability relay display prepaid receipts,in cash closing reports rendering of accounts in the table where the results are shown presented difference also showing prepaid receipts in the means of payment column as well as done in financial closing cash presenting values,1860.0
product movement history relay error when generating report,"in product movement inventory reports, the system displays the following message below, preventing the report from being generated",1380.0
end conciliatory letter order of letter,when searching for a card to be associated always list the most current records,3420.0
fin card remittance taxon date of the administrator,"when changing the shipping date by card, receiving the taxon date from the administrator remains with the current date, so the system allows me to change the date to the shipping date",1860.0
mov nfe output generated with ecf template,when marking in check register generates sale with exit note issued by the rear system records of the exit number ob model when recording model in the sped validator generation requires that a reduction be launched,2520.0
mov readjust develop routine to zero stock quantity,develop a routine that allows zeroing the amount of stock of selected products grid ob only display option for users profile deployment,2460.0
"pro historical movement of movement, display date and time of the stock movement","in product historical movement of movement, display date and time of the operation in the column",2580.0
end of cash closing sales carried out as they are being determined as bleeding,sales made as saved as column bleed,3060.0
webposto pay image quantity sold cutting in print,identify correct printed coupon generated by pay poi quantity field are being cut in print,3000.0
pay webposto record pay machines serial in pdv table,record pay machines serial in the field table,3000.0
supplies auditorium relay is displaying a difference found close cash,report is showing in its difference column lts for nozzle day but this value is displayed closing the cashier or on the query screen ob we identified that single day sale of this nozzle was divided into new supplies we believe that this would be the reason for the wrong information in the report,2820.0
webposto pay list inactive customers,allow you to make sales to inactive customers,2280.0
fuel liter unit unit margin column has a negative value,"when generating report with daily analytical type, unit margin column is being calculated with a negative value",1860.0
MD MDO MDO CDIGO CDIGO CIOT para emitting document,include a field on the mdfe issue screen so that it is possible to inform ciot that will be used to issue the document attention according to the documentation each subcontract will generate a new ciot code,3120.0
customer registration when consulting cnpj fill in the observation field if something is filled in,in customer records when consulting cnpj fill in the observation field if there is something filled in reason if consulting cnpj more than once the system is replicating information observation field follow the attached video,2940.0
Inventory register relay adjust currency unit that is rr should be,"in tax reports, inventory record, adjust the currency unit that is rr, follow the attached report",3120.0
webpostopdv is allowing discounted import,webpostopdv others include with discount identifying customer when using POS system informs that it needs customer identified and the table was identified on the screen of if there is discount POS manages to finish sale follow attached video,2760.0
fin pay bonds validate day limits for bond release,in adm profile include fields for validation of the titles pay allow the inclusion or write-off of a title that has a previous date that was defined in adm profile attention this validation there is a launch of titles receive,1500.0
webpostopdv shift movement appears sales tef,when opening the POS shift movement screen generates tef movements if you press it appears sales made tef with identified attendant,1920.0
sped fiscal generate records when the flag is to be calculated,in fiscalsped fiscal when marking the record flag detail values must create records referring to outgoing movements reason for integration with strong accounting system created configuration for the system to generate records referring to outgoing records however it is creating respective records follow the file generated in this way by the xpert software for example,1500.0
webposto pdv customer credit limit,pdv is only blocking sales to customers if their credit limit is negative.,3060.0
mov input screen crashes after going through aliq field cfop items,when we advance in the screen of entry of notes with the enter button after passing through the field aliq cfop items screen of entry of items of the purchase is inoperative allowing typing in any field,2640.0
quality pdv allows for the supply of any employee to be included,"even with the POS configuration key it registers the sale in the name of the operator identid yes when starting the sale by first inserting a product the system allows selecting after any supply, even if it is from different operators",3000.0
integraweb when going up bank transfer determine flag generate values account movement before consolidating,"when raising bank transfer to the rear, the flag generates account movement values must be determined before consolidating that it is in administration. done as done rearguard",3480.0
card identfid implement new card type,in configuraescarto identfid implement a new type of card called gauging reason implementation of this type will be read later by the POS so that supplies made with this card are downloaded as gauging ob at the end of the implementation of this request please notify the,3360.0
webpostopdv customer query by board,implement webposto pdv functionality when inserting a card registered in more than one client to display a screen with clients reason functionality existed qualitypdv helps a lot in pdv launches,1740.0
android create flag to save user password,delete user password fields when unchecked connected reason when doing longin the first time mobile even without having enabled the keep connected function is saved user password when the application exits client is complaining that he wants this function active would like to request a review for correction so that every time to exit the application this information is cleared,3000.0
webpostopdv shipping letter prints,at the end of the sale with a freight letter webpostopdv system shows message if you want to print a freight letter comes out printed from the freight letter qualitypdv message appears printed out,2640.0
auditorium record machine that performed operation,in adminstraoauditoria we need a machine name field to be created where we can see which machine was changed,3060.0
rel products error when generating report using markup filter,in productstockreport when trying to generate with the option to filter by markup system presents an error message is attached image error,2700.0
webposto pay sale identifying cpf prints coupon,before selecting supply we put only customer ID number registered after we select supply we finalize sale time to print number number appears after when confirmed printed appears number number appears on customer ID before selecting supply customer ID placing only number number works end of sale on last screen when printing ID with registered customer is working,2340.0
customer voucher make an improvement in the use of the resource to include another card entry,in financiervale de cliente tab payinserircartoinclude another when using the feature to include another it is necessary that this flag be unchecked when posting the last record otherwise all lost entries suggested improvement that posted records are kept when closing the entry window,2640.0
sped contributions enable consolidated option for presumed profit only,in fiscalsped contributions allow selection consolidated option only for presumed profit branches currently when presumed profit branch radio with consolidated option visible but allows to be enabled suggestion display message informing that option is available only for presumed profit business units,1980.0
"property, plant and equipment change component asset to asset","in property, plant and equipment management make an improvement so that it is possible to change an asset type component to type asset currently when trying to make this change the system displays the following message asset must have a main asset",1740.0
quality pdv sale with item without product,randomly pdv is presented error after inclusion of a product for sale ob this problem occurred previously it was opened it was rejected because they managed to simulate,2820.0
readjust standardize quantity label to improve understanding,in motion readjust standardize quantity label to improve understanding grid form modify previous qty label to system qty current qty to count qty count form report modify stock label to system qty current stock to qty count product report general count modify stock label to qty current stock system for count qty product report count forum modify stock label for qty current stock system for count qty ob check if the modification will include reports by export xl,2520.0
card reconciliation improve card search in card reconciliation,in financial conciliar card when we are going to associate a system card to the one that comes from the edition on this search screen the system is showing the complete authorization number,2280.0
pay access validation screen,include in the access password authentication screen app settings date time equipment,2940.0
pay item registering with zero code xml,item registering with zero code xml,1980.0
webposto pdv develop configuration key for read interrupt to the concentrator module,develop a configuration key in the POS register so that it is possible to disable the reading interrupt function to the concentrator module ob default of the ser key to allow enabling the customer if necessary,1380.0
fin card conciliation card conciliation presents card reconciled,in financial reconcile card when we do a search with options display only records with divergence display records without editing marked system is showing card that were reconciled video link,1920.0
webposto pdv create key to print no report end shift,create a POS configuration line where you can work with blind cashiers without printing reports general financial views including shift closing reason since you want the employee to have access to no cashier value because it is giving space for value deviations,1380.0
reconciliation edi description being replicated when receiving,in financiercartoconciliar description being replicated when receiving situation when generating a card remittance through the reconciliation screen when generated query with all administrators system is getting description of the first remittance putting for all remittances in the movement of accounts independent of the administrator attached image,2760.0
note output update plate field to standard mercosur,on the move note saddata update trailer vehicle license plate fields to mercosur standard,2340.0
webpostopdv allowing login with inactive employee,webpostopdv is allowing login with inactive employee should,1560.0
webposto pdv note for own issuer,"when issuing a document to the issuer itself, the system is respecting the key that was configured for customer registration to issue only a number",2820.0
mov cte sending,"when selecting a record, request that it be sent by in document submission system is always sending the last record gird",2640.0
webposto pdv choose stock at product drop,"when activating the line, it allows you to choose a different stock POS stock the system should allow you to select stock that has a greater or equal quantity that you want to be sold",1740.0
quality pdv sangria pdv auxiliar,Auxiliary POS sales downloaded with a card payment method are being displayed on the attention screen check the other documents that can be issued,3060.0
employee registration implement hamster biometric reading,in cadasfuncionriosaba config pdv implement biometric reading through hamster ob device implementation exists for driver registration,1920.0
rel mov financial synthesize visualization,"in financialreportsfinancial movement analytical layout when generating report without flag detail the movement marked, the balance of the movement must be displayed instead of bringing each account movement item",1860.0
dashboard calculation of pending items as of today is incorrect,calculation of pending items as of today is incorrect selecting both pay pending and receive pending pending clearance as of today should be all open records with a due date greater than or equal to the current date,2460.0
customer voucher recharge employee when changing cashier,"in Clientevale's Financeiravale, when you include it in a cashier, the employee field allows you to select an employee involved in the cashier, but if the cashier changes, it is cleaning the employee field, even if it visually appears, the operator can proceed with the launch, but it remains for an employee who participated in the cashier",1980.0
nfce error viewing nfce,in nfce movements error when viewing nfce,1560.0
title receive duplicate receipt on the track limited per day user profile,in financial title receive ignore movement rule defined in administrationprofile when POS comes situation when trying to receive a title on the track even though it is expired title system allows because profile registration is configured for or day that would be lower than necessary for operation according to pdv ma does sense since the cashier has a profile record nor a back-end financial movement would be on a current date even,2400.0
leftover losses relay displays percentage of leftover losses in period without input nf,in reports leftovers lmc losses shows percentage of leftover losses in period without entry nf synthetic layout grouping by tank ob done a previous analysis it was identified what percentage exhibited in periods that had entry nf as image below,2460.0
user when changing a user delete email is keeping deletion,in useradministration when changing a user delete filled email is keeping deletion follow the attached video showing the situation,3240.0
recording wrong cfop in the sale of gnv,in sales transacted by lio read parameterized cfop product registration ob sales of gnv for example must be recorded with cfop,3120.0
pay deadlines price table rule works,"at the end of a pay sale that has a discount or addition, the system is obeying this rule of price table term ob discount configuration addition made in registrations deadlines price table of deadlines tests made on the basis of quality version pay services updated",2580.0
webposto pdv customer price table is applying discount,table with customer-specific price is applying discount when back-end term is configured,3420.0
webpostopdv system is correctly performing discount for customer price table,"when making a sale with a product that has in the individual customer price table, that is, it has a price table configured, just made a link with customer registration system is highlighting discount on the new version testis made current version pdv works previous pdv version working",1860.0
fin card reconcile improve authorization column divergence control,include as the last rule of comparison only fields authorization value so that it is possible to automatically link records even with different administrators attention check all columns that are divergent for record between edi file our system,2100.0
rel receipts implement filter grouping by chart of accounts,inreportreceipts implement filter grouping by chart of accounts implement filter of chart of accounts just below attached image filter highlighting how to implement within grouping an option for chart of accounts follows attached image highlighting how it would look ob when grouping must bring within grouping all respective existing order data inward grouping total grouping,3060.0
note output additional information sending to sefaz,in movements note output when making nfe with additional information pdv system or webposto are taking information to xml for sefaz ma when we try to view danfe complementary information appears ob after correction should work in nfe issued by both pdv and webposto,3240.0
customer registration scroll bar going to the bottom of the screen,in customer registration when searching for customers scroll bar is going to the end of the screen ideal would be first customer last ob treat in the screen of inheritance registration,1800.0
customers calculated price from individual price list is incorrect,in customer records the price table calculated from the individual price table is incorrect follow the attached video,2880.0
sending nfce by shows error,when sending from nfce it shows an error,3300.0
preventive test supplier registration,"in supplier registration, all functionalities must be tested as if it were a screen new interface spelling data integrity usability intensity of use performance reason to verify ensure proper functioning of the resources",2940.0
cfop operations report by inconsistency conflict cfop operations report sales by period,when removing these period reports giving a difference of one thousand reais we need to find out where this difference comes from,2460.0
output note error writing return nf,in movements note output error when recording return number situation when making a return note for own customer post coupon when recording note system is giving error message is attached,2160.0
card receive change good for changing tax date,in financial card receivable when changing good to card is matching tax date with movement date ex card movement day tax date when changing good to tax date assumes video attached demo login to comments,2640.0
pdv new operator filter,pdv new operator filter situation when activating individual configuration in the pdv settings on the screen it is only showing supplies employee logged in even if click to show all supplies of all employees or going to menu deactivating filter,3000.0
webpostopdv closes shift with on-screen supply,new pdv is respecting the configuration key shifts with supply on the screen follows attached images,2280.0
rel leftovers lack of incoherent calculation,in reportsclosing of cashiersworks faults incoherent calculationsituation should be done below steps together in the same network video of when logging into the airport branchfilter financialclosing of cashconsolidated period of displays some cashiers only one of them contains divergence then when generating reportclosing of casesworks shortages displays cash with divergence correctly video of when logging in to the mega branch filtering financialclosing of consolidated cashier period of displays no cash after generating reportclosing of cashierslacks works displays cases with discrepancies on the day incorrectly ob an additional detail that even unchecking the flag show zero values is displaying cases with divergence zeroed should follow attached video,2820.0
mov input adjust calculate,when calculating value consider normal fcp value even if xml file is highlighted using following formula pfcpst base value pfcpst product value attention when using cst we must calculate fcp or,1980.0
nfce nfe optimize jump query,in movinfce nfe optimize jump query,2520.0
title pay is loading bills for loans,in financial title pay when including a title pay check the option generate loan transaction system returns registered accounts follow attached image,2580.0
cash closing error when generating accountability report on a specific customer,in financial cash closing error when generating report of rendering of accounts in a specific client follow the attached video,2340.0
cashier closing is taking too long to open any cashier from a specific branch,Attention the closing implementation completely redone with in financial cash closing is taking a long time to open any cashier from a specific branch,2340.0
webpostopdv finalization of sale,when opening a sale with a payment method then delete this payment method entry then press the esc key after pressing the system is finalizing the direct sale in the payment method previously informed follow the attached video,1560.0
sped fiscal sped record is breaking line,in fiscalsped fiscal record sped is breaking line follows image attachment ob was done some tests was identified that withdraw br changed from to end email solved problem that br is breaking line,1920.0
cashier closing error when posting bank transfer,"when including a bank transfer, there is one that came with a blank chart of accounts, an error occurs could convert variant type unicodestring type double",1380.0
mov lmc total error to spare,lmc when generating day of common gasoline tank is determining sale made spout when marked by fiscal date,2220.0
title receive stopped allowing to receive in a box after publishing,in finance title receiving stopped allowing to receive in a cashier after publication follow the attached video,1500.0
webposto quality pdvs receipt of title amount paid partially time on sale is incorrect,in financial title receive amount paid partially time on sale is incorrect situation a sale amount was paid in weekly time but financial note was recorded with full value of sale is incorrect follow the attached video,2220.0
fin securities remittance mail layout bank brazil,when validating remittance bank brasil cnab presents an error in the count of records batch is counting only records being that pg counts total value of lines lot includes batch header records observation trailer this count of lines includes first last line,2400.0
conciliation edi system signaling card in shipment even being,in finanncialcarto receivecard reconciliation system signaling card in clear even though button is being displayed follow attached image b problem occurs from version,1560.0
quality webposto expand coverage of maximum value key for sale customer identified for sat too,expand key coverage from maximum for sale customer identified to sat also ob modify group key name if possible for better understanding user maximum for sale customer identified to maximum for sale customer identified,3060.0
mdfe validate mdfe duplicate,in mdfe movements the system is allowing to launch mdfe with the same number to inhibit this problem it is necessary to create a bank validation validating the uniqueness of the business unit serial number ob check also if it is necessary to implement project source,3420.0
fin closing box enclosures display grid nozzles that were made only gages,display grid information nozzle that had a sale but had measurements,2580.0
webposto pdv include total discount addition on screen,includes on the screen in the printout the total discount report addition of values entered at the end of the sale ob must consider special price,2160.0
pdv notes carte in the bloodletting consultation are bringing releases,moment of launching the bloodletting via the alt shortcut when double-clicking on the note card option to bring casualties carried out shift system brings information when consultation is carried out by the shift note shift card information is included in the attached video,2880.0
fin card reconcile improve authorization column divergence control,"when comparing the authorization field, do the same with the code that is informed by the file by which the system is saved",2760.0
fin closing cash make adjustments to the closing tab,when expanding line to view details information adjust column pump price so that it is displayed with decimal places after comma when clicking the export button system is expanding all lines to after exporting file adjust even to export as the grid is being viewed,1620.0
quality pdv allow entering a km smaller than the last one informed,"on the aggregate screen, allow the inclusion of a km smaller than the last one informed.",2040.0
webposto pdv allow inserting a km smaller than the last one informed,"on the aggregate screen, allow the inclusion of a km smaller than the last one informed.",2220.0
quality pdv field customer term are being deleted after issuance of tax document,"after issuance of the tax document, the customer fields deadline must be deleted when the POS POS Quick Sale configuration key is configured as yes.",2220.0
final cash closing prepaid debit entries are being credited in account mov,entries made in financial closing of debit box are being automatically inserted account movement as,2040.0
sped contributions duplicate column error when generating sped contributions,when generating sped contributions post big post sped gives the error described in the image,2400.0
cash flow change cost center account filter to multiple selection,in financialcash flow change cost center account filter to multiple selection,2520.0
rel entry record display supplier name when there is repetition,in stock reports entry record display supplier name when there is repetition of documents currently it repeats displaying blank fields ob past this resource was implemented however we decided to approve request as most reports use resource,1860.0
pov new sangria is with field,new pdv is recording bloodletting made bank with null integration field even though this field is with default due to this bloodletting are being integrated in real time only when closed shift,1380.0
integrates customer voucher included by webposto fills local customer,when inserting a customer voucher through the webposto it goes down to the local bank with identification customers that this voucher belongs to,3240.0
pdv new old just fill in tributes for csosn,"when generating sales record when company branch registration is defined as simple national only fill in the database tax load information when csosns either item or ob csosn allows bookkeeping in own fields of all available tax load layout defined by nfe nfce ob csons allow highlighting only in their own field, other taxes must be filled in the database",1680.0
pre paid preventive test,"in financevale of a pre paid client, all functionalities must be tested as if it were a new screen interface spelling data integrity usability intensity of use performance reason to verify ensure proper functioning of the resources",2400.0
customer record error when including an individual special price,in customer records price table error when including an individual special price follows attached image,3060.0
mov closing query perform screen functioning adjustments,carry out improvement adjustments on the screen to allow data maintenance to allow shift change even when the endpoint divergence screen is averted when changing shift on the endpoint movement screen update information on the endpoint divergence screen when closing the endpoint movement screen automatically close the endpoint divergence screen,1800.0
product registration correct crud when adding new configuration,in registersproductstagsconfig tag when including or changing tag hide change delete,1920.0
price change improvements,in movement price change perform improvement when inserting a new price change because the system closes the window when the user tries to save the record without selecting a fuel in this case the system must inform the user that a fuel must be selected the screen must be kept open when trying to change a configuration price with pending status date less than current date system displays message twice this message should appear when viewing a price change only if trying to change its date,3060.0
accountability relay adjust width of expense description fields services,in reportsclosing the cashieraccountingcheck the financial option options service expense make an improvement so that the width of the description fields are adjusted in order to allow reading of its content in addition to increasing the field size if it exceeds the displayed field size allow line break reason in case of owning description more than characters cut text,2340.0
new pdv implement block shift movement queries,implement configuration key configpista shift queries this configuration key must block opening of the screen movements shift configuration key must have a default value note movement button in consultmovementao must be disabled when using shortcuts to call the screen it must display the same,2760.0
fin customer voucher pre paid installment with card payment,"after searching for a customer by name or using the system, it returns information to the screen, but it clears the field when we proceed to fill in the other fields",2820.0
mov entry amount of expenses in the invoice is debiting the total amount of the invoice,book value other expenses field is being debited total invoice amount,2160.0
mov entry deduct icms unencumbered amount total invoice amount,deduct icms amount exempted from the total amount of the invoice,2820.0
pdv use unit according to product registration,use registered unit product for issuance of nfce sat ob the change must be carried out in the doi,2160.0
new pdv product search screen,"on the product search screen, by clicking on the magnifying glass, it is possible to search for a kit by the registered name",1500.0
reset product count import with more than one barcode is importing,in motion readjust product count import with more than one barcode is importing situation when importing stock count with products that have barcodes configured system this product appears when imported file testis made post in comments with product registered collector configured product coconut water kero coco cod that is in the count cod that is in the count,1920.0
simplified pdv nfe goes change information,summary print of nfe is coming out with change information necessary for the customer to see that there was change is also highlighted for the operator after the sale is completed check the total change that occurred,2880.0
new pdv displays pending notes alerts,new POS system showing pending notes alert as old POS showed customer requested possibility of inclusion of resource for better conferences ob done conference with access passed by customer attached version message displayed by old POS,1740.0
integra updates driver registration field to require biometrics,local bank in field driver table requires biometrics is being updated,1620.0
pdv new freight letter exchange works,new pdv allow downloading sale in freight letter generating change as done old pdv,1440.0
mobile change favorite save functions favorite,unify favorite save functions,3000.0
cash closing make optional prepaid debit sales field,in financial cash closing prepaid debit tab remove mandatory link with sale,3300.0
financial mov relay given breaking page unnecessary,in financialreportsfinancial movement given breaking page unnecessarily and may consume excess pages if printed follow image attached file,2520.0
pdv customer query is cutting cnpj,"when consulting customers, customers' cnpj information is coming out incomplete in the grid search screen as per the image in the new pdv",2880.0
fiscal sped contributions error when generating sped contributions,when generating sped contributions it presents an error query return unique result generates file,2220.0
pay error when finalizing sale machine gertec network,"when the client finalizes the transaction made by the network machine, an error log error fails to validate the invoice data errorvalidacaocompleto fails to validate the invoice data element missing child expected",2520.0
pdv correct receipt of notes with,pdv made a receipt of notes with payment with type when verified closing cash back value goes to debit field however this receipt has cash closing sum amount presented in cash,1800.0
fin mov account received value card is different from that calculated in the shipment,"when carrying out receipt of remittance of value card sent for account movement, this divergence received, in fact, net value matches the presented",3480.0
leftover rel missing system informs that employee was informed but is informed,"in reports closing cashier leftovers cashier system informs that the employee was informed, but he is informed follow the attached video",1440.0
pdv new printed shortcuts pdv,"on the screen to configure POS shortcuts, allow exporting POS shortcuts so that attendants could have a printed or digital report of the POS shortcuts",1740.0
lune nf provisioning with double value,in fiscallune provisioning file came with double value in the line of each type of product should have prorated value by product b problem occurs in the invoice of three points,2400.0
relay inventory ratio calculation cost price when kit input is incorrect,in stock reportsstock relation when the product is used as an input for a kit cost price that displays it is being a kit but it must be a proportional cost kit follows the attached image,2160.0
price table incorrect calculated price view when changing table,in price table movements when customer uses option bc product table when changing price table calculated price that is showing above the product price above the bc of the price table follows attached images,1920.0
customer record correct output note settings combo width,in customer records tab invoicing correct box width where options are displayed combobox output note settings currently these options are occupying the entire width of the monitor,1800.0
lune provisioning determining retention of goods in nfs should only be calculated when service,"in fiscallune provisioning ascertaining withholding of in nfs of goods, however, it should only be determined when service requester report physical note of three points taking withholding of pi cofins provision file this invoice has pi cofins same but only for service invoice this note that I gave you of merchandise",2040.0
simplified billing close date calculation when weekly close,in financialsimplified invoicing closing date calculation when weekly closing ex sales made between closing must be day system is showing as follows attached image,2580.0
sintegra error when generating sintegra in version,in fiscalsintegra error when generating sintegra on the back side follows attached image,1800.0
mov lmc error when clicking button sort sheets,"when clicking the order leaves button, the system displays an error message lm of common gasoline with invalid total liters movement",1560.0
handle inactive price list,no flag was created to mark price table as inactive integrates must check this setting down to pdv tables together with flag allow using only active tables,3180.0
employee registration system allows download of attachments,in cadastresfuncionriosaba attachment system downloads the inserted attachments displaying message there is a program associated or capable of opening this file,2040.0
fiscal sped contributions generate sped file for branch that has headquarters in the same network,"when generating a file, make a validation if there is a cnpj of the matrix in the same network as the branch house exists inform the user which file to be generated by the indicated matrix.",2460.0
rel card box error when enabling admin combobox,in reportsclosing the boxcard box error when enabling admin combobox follows attached image,2100.0
cash closing error when deconsolidating a cashier,in financialsclosing cash when deconsolidating a cashier that contains discrepancies cash system allows deconsolidating displays the following message attachment b problem occurs in the version started to occur in the version,1740.0
rel lmc losses leftovers error when grouping by product lmc analytical type,when generating report grouped by lm product analytical type system displays an error message,1380.0
card receives error when displaying in reconciliation only card with discrepancies,in financialcartoconciliao error when marking flag display only records with divergence follow attached image,1920.0
pdv block edition add discount when receiving duplicates,pdv when receiving if duplicate has value addition field this value is reset to zero the system allows the receipt sequence displaying the following message addition value lower than defined improvement suggestion disable editing of discount addition fields,1800.0
pdv allow products with cst to be sold with negative stock,pdv make an improvement so that products configured with output cst can be sold with negative stock if pdv product configurations currently allow the system allows sale of products with negative stock even if pdv product is configured to allow,1320.0
title receive the addition value being reset to zero when deselecting interest flag,"in financial title receivereceive if addition is filled in, this value is being reset when interest flag is deselected",2160.0
title receive correct label km on consumption invoice,"in finance, title receive duplicates, view consumption invoice, correct label in the first column referring to km, follow annex with highlighted problem",2100.0
title receive option convert to duplicate when splitting duplicate works,in financialtitles receiveduplicatasopsparcel duplicate when trying to split a duplicate with the option convert to duplicate system performs the operation displaying the following message note is converted can be changed,3300.0
title receive validate selected documents when trying to merge duplicates,"in financial titles, you will receive duplicates when selecting only one duplicate, clicking on merge, system displays screen for selecting the expiration date, later, it informs that at least documents must be selected for unification, perform improvement so that this validation is displayed before informing the expiration date",1620.0
title receive improve message displayed when trying to restore duplicates,in financialtitles receiveduplicates improve the message displayed when trying to restore duplicates current message only open duplicates that can be restored suggestion duplicates received partially can be restored,1500.0
supplies fix improve in functionality,in supplies movements optimize report generation time when filtering a shift system presents an error when trying to use cash filters together with pending filter when using both filters together system displays the following error result returned query,2460.0
admin allow clearing edi data,in administrator registration edi data grouping allow clearing fields administrator administrator reason after indicating a manager in the option contained administrator registration edi manager administrator system let more you remove option has a network of petrosoft partners stations that need to remove options registration even allows you to delete click saving saved information brings old information even though in theory it should have been,1320.0
relay losses leftovers when executing report displays an error message,when running report it shows division zero error,1860.0
pdv new identify customer allow special characters plate field,plate field allow typing of special characters because when inserted they generate an integral error,2040.0
tax sped nfe of outbound type entry with discrepancies between,in fiscal sped fiscal when generating sped in a simple national company that issues nf of output type entry is generating discrepancies between records where respectively csosn cst is being displayed,2640.0
fiscal sped record error when generating sped file,when generating sped fiscal file the system presents a registration error,2880.0
pdv nfe of expenses writes box when there is a shipping error,nfe of expenses saves cash when there is an error sending scenario customer registration marked determine sales as an expense then all sales of nfe pdv for this customer must enter as a cash expense if not present any error example error cfop product then employee correct note system writes information of expense in the table if you notice it goes straight without errors pdv writes information in the table,2580.0
fiscal sped contributions error when generating file,when generating sped file contributions system presents an error message,1380.0
lune determine customer instead of issuer in check entries lune liquidation file,in utilitiesintegraolune settlement determine customer instead of issuer no check postings lune settlement file in addition it must go empty when final consumer reason lune file settlement final consumer check is with issuer name instead of customer with this accounting is calculating the amounts in the issuer account generating rework for accounting to switch to customer,2220.0
fiscal sped contributions when generating file shows error,when generating sped contributions file it shows an error message,2280.0
integraweb standardize password field size,"pdv standardize password field size reason when web bank defined a password with more than characters error integrates poi local bank character limit driver size vehicle size report support web system system aggregate register there is an option to register a password in the same way as there is an option to register a driver password that theoretically has a size limit for password, however pdv exists lock with size in need to be updated size for local bank as it works webposto",1500.0
fiscal sped when generating file presents error,when generating sped fiscal file system presents error,1380.0
rel stock ratio when running filter shows error,when executing report system displays division zero error,1380.0
lune duplicity of calculation when nfe issued pdv lune file,in utilitriosintegraolune provisioning ascertaining duplicate sales when no POS is issued situation when a POS note is generated this note is going to the lune file in duplicate in the file there is a note a coupon with the same number but it is referenced coupon notes with cfop notes are being generated for the post itself with cfop I'm using note number day as an example reason because the file is with two information nfe coupon accounting is having difficulties in ascertaining information,2280.0
